SGD_ID	GENE_ID	Ferm density fold change (KO/WT)	Resp density fold change (KO/WT)	Ferm P-value (KO vs WT)	Resp P-value (KO vs WT)	YPG_Phenotype	CLS(Days)	CLS-%Change	Mean RLS	Maximum RLS
YHR100C	GEP4	0.224824946	0.601417723	0.000585331	0.010713815		29	-27.5	15	24
YHR076W	PTC7	0.917668402	0.906812259	0.724554248	0.337096272		42	5	24	36
YHR189W	PTH1	0.855395479	0.545029109	0.493696823	9.05978E-07		39	-2.5	22.2	33
YCL064C	CHA1	1.360740294	1.13048167	0.015399653	0.189684633		41	2.5	27.785	51
YCL045C	EMC1	1.098693099	1.211394884	0.413545263	0.097165194		46	15	19.4	34
YLR201C	COQ9	0.697431378	0.567814334	0.189886893	0.000755244		22	-45	18.733	45
YLR168C	UPS2	NA	NA	NA	NA		52	30	NA	NA
YKL150W	MCR1	0.995336258	0.885438903	0.98020596	0.400161681		19	-52.5	25.4	39
YKL134C	OCT1	NA	NA	NA	NA		32	-20	NA	NA
YKL148C	SDH1	0.964441511	0.664587144	0.766445522	0.014353514	rho0	12	-70	32.754	55
YKL067W	YNK1	1.052801216	0.974720074	0.793867494	0.810332189		40	0	23	30
YOR125C	COQ7	0.648032419	0.576619475	0.269347048	0.000727765		46	15	21.067	42
YKL187C	FAT3	0.843764647	1.015801531	0.172659387	0.94278504		41	2.5	22	27
YOR136W	IDH2	0.89972955	0.682652592	0.380080038	0.029032261	rho0	47	17.5	30.841	63
YGR031W	IMO32	0.950218116	1.099804507	0.806239126	0.120580843		48	20	28.6	43
YGR112W	SHY1	0.775630992	0.446522389	0.090841626	0.000131313	rho0	14	-65	28.586	55
YOR226C	ISU2	1.021229158	1.337792901	0.882706398	0.130622509		38	-5	19.8	38
YOR211C	MGM1	0.37904714	0.525428662	0.012187946	0.029363902	rho0	9	-77.5	23.293	48
YOR285W	RDL1	1.495448276	1.004818149	0.12228061	0.979265432		31	-22.5	23.8	26
YOR286W	RDL2	NA	NA	NA	NA		37	-7.5	NA	NA
YJL180C	ATP12	0.266181361	0.412256724	0.00529114	0.000106012		3	-92.5	7.625	23
YLR348C	DIC1	1.21099904	0.754344566	0.296472935	0.031977071	rho0	42	5	23.267	44
YLR239C	LIP2	0.619905037	0.526612477	0.056181803	0.006028198		10	-75	30.8	46
YLR368W	MDM30	0.875278699	0.678266106	0.440125462	0.139538788		51	27.5	27.24	50
YLR251W	SYM1	1.327138096	1.338647017	0.152884285	0.041722809		49	22.5	21.4	25
YLR253W	YLR253W	1.150255166	0.944967869	0.627489481	0.38760812		42	5	18	45
YLR290C	COQ11	1.140640531	1.798626654	0.388780875	0.000728834		18	-55	30.2	35
YLR304C	ACO1	0.687529294	0.494351019	0.125104229	0.004812205		17	-57.5	26.193	52
YDR204W	COQ4	0.60686662	0.575885713	0.127270019	0.000719268	rho0	5	-87.5	17.533	30
YDR148C	KGD2	0.854822677	0.667956885	0.174905037	0.01353825	rho0	21	-47.5	24.188	51
YDR150W	NUM1	0.989385421	0.789571635	0.942186429	0.204665481		30	-25	8.8	11
YDR185C	UPS3	0.969766947	1.173454364	0.852455281	0.347731155		45	12.5	29	35
YGL231C	EMC4	1.00340321	0.972299981	0.980293273	0.497455347		39	-2.5	20.4	28
YGL220W	FRA2	0.938966172	0.926350072	0.702330952	0.698745913	rho0	38	-5	19.2	23
YGL221C	NIF3	0.893324534	1.079155299	0.652842642	0.005976223		20	-50	22	25
YGR015C	YGR015C	1.130381125	0.922221315	0.673041697	0.682741202		27	-32.5	21.4	25
YPR004C	AIM45	1.137492823	1.222323143	0.512750839	0.34283621		40	0	30.48	53
YPR140W	TAZ1	1.154086785	1.262181049	0.162002685	0.091290293		33	-17.5	21.8	31
YPR125W	YLH47	1.292999529	1.347883619	0.094005762	0.056890669		44	10	31.12	54
YDR539W	FDC1	1.122493366	1.222024837	0.490769502	0.321668328		39	-2.5	20.6	30
YGR235C	MIC26	1.002779011	0.647314205	0.990010133	0.024068025		58	45	22	28
YGR243W	MPC3	NA	NA	NA	NA		40	0	NA	NA
YGR231C	PHB2	1.116718477	1.162161476	0.479855822	0.315266287		41	2.5	14.105	41
YFR045W	YFR045W	0.995336258	0.968396939	0.968211968	0.805426134		45	12.5	22.4	32
YGL080W	MPC1	NA	NA	NA	NA		40	0	NA	NA
YNL200C	YNL200C	1.172298704	1.123316711	0.504411378	0.444922544		44	10	17.6	26
YKL207W	EMC3	NA	NA	NA	NA		33	-17.5	NA	NA
YNL168C	FMP41	1.022683957	1.352588697	0.876612748	0.04961881		49	22.5	22.4	34
YKR018C	YKR018C	1.154086785	1.233336054	0.471217196	0.050118818		31	-22.5	26.4	30
YIL027C	EMC5	NA	NA	NA	NA		40	0	NA	NA
YIL065C	FIS1	1.554611743	0.947392909	0.469152156	0.759201717		34	-15	25.4	33
YDR282C	YDR282C	1.101692996	0.965180165	0.427493145	0.723480779		24	-40	31.578	58
YKR070W	YKR070W	1.253650553	1.303543363	0.259590708	0.082725275		36	-10	24.8	32
YMR089C	YTA12	0.757153544	0.415160594	0.117618153	0.000121881		24	-40	21.046	49
YOL096C	COQ3	1.088506468	0.56634681	0.750380868	0.000662475		15	-62.5	21.086	38
YLR038C	COX12	0.735993922	0.482069812	0.081459233	0.001818716	rho0	31	-22.5	19.4	27
YER078C	ICP55	1.019453079	0.977186408	0.912407866	0.806592496		40	0	25.4	34
YHR162W	MPC2	1.136128413	0.943871014	0.314948442	0.398772088		37	-7.5	34	64
YMR110C	HFD1	1.504281037	2.036805342	0.17776703	0.000399859		39	-2.5	27.6	38
YJL082W	IML2	1.028446791	1.206492084	0.886231425	0.090456037		30	-25	17.6	21
YJL112W	MDV1	1.140643169	1.150068649	0.367620342	0.464771047		40	0	25.8	39
YJL102W	MEF2	0.624568779	0.486450253	0.088664224	0.004489544	rho0	11	-72.5	32.424	73
YJL066C	MPM1	1.147917999	1.075121562	0.069467351	0.171180393		39	-2.5	23.6	29
YPR042C	PUF2	0.905513614	0.839071692	0.598917913	0.137730278		34	-15	20.8	24
YPR058W	YMC1	1.023756719	0.915206998	0.88339153	0.30817336		31	-22.5	18.2	28
YPR098C	YPR098C	1.277356212	1.181713034	0.218100687	0.279787601		31	-22.5	18.4	28
YJR088C	EMC2	1.187176567	1.072894788	0.093924321	0.322524745		39	-2.5	30.8	35
YLL007C	LMO1	0.912892032	0.91404545	0.496934368	0.189895063		24	-40	18.8	33
YHR008C	SOD2	0.717843616	0.91572517	0.080181334	0.49050911		38	-5	25.827	71
YJL045W	YJL045W	1.1043049	0.916146786	0.478312517	0.374634334		42	5	24.44	37
YLR454W	FMP27	0.993193579	0.929292056	0.959094293	0.168916453		43	7.5	23.96	56
YJR091C	PUF1	0.949977796	0.948206981	0.771338924	0.64385972		38	-5	22.4	35
YJR100C	AIM25	1.104346201	1.214071709	0.582535057	0.312686612		29	-27.5	27.52	47
YJR121W	ATP2	0.084536425	0.472970686	0.000416406	0.000192031		19	-52.5	14.223	46
YJR120W	YJR120W	1.002331871	0.55558195	0.989234419	0.00833734		48	20	19.2	28
YBR269C	FMP21	NA	NA	NA	NA		40	0	NA	NA
YJR010W	MET3	0.891774949	0.897783778	0.589958333	0.064209407		40	0	31.506	58
YDR031W	MIX14	NA	NA	NA	NA		37	-7.5	NA	NA
YCR079W	PTC6	0.923843272	0.90754602	0.820165335	0.255617094		33	-17.5	24.544	43
YDL119C	HEM25	0.569004823	0.530102658	0.023500981	0.004547383		35	-12.5	25.6	36
YDL157C	YDL157C	0.853092131	0.468673531	0.344724269	0.004030672		40	0	32.4	58
YBL099W	ATP1	0.362580817	0.47641904	0.000726722	0.002457756	rho0	5	-87.5	7.575	27
YBL098W	BNA4	1.170129675	1.181596434	0.306488452	0.327290569		35	-12.5	32.6	39
YBR003W	COQ1	0.724189147	0.57882076	0.252868362	0.000732416	rho0	7	-82.5	20.364	42
YNR041C	COQ2	0.61304149	0.579554522	0.098629251	0.000745267	rho0	6	-85	24.867	48
YNL037C	IDH1	0.867083356	0.900582036	0.235888598	0.329955753	rho0	37	-7.5	32.592	67
YBL107C	MIX23	1.197889073	1.035464647	0.363292595	0.740618439		40	0	35.4	50
YNL005C	MRP7	0.790054425	0.594229756	0.463448539	0.001050269	rho0	32	-20	18.643	34
YBL095W	MRX3	0.934707614	1.38977109	0.579436703	0.041481181		31	-22.5	25.8	37
YBR005W	RCR1	1.125921031	1.030944664	0.564608007	0.797429997		39	-2.5	28.68	56
YBR024W	SCO2	1.002639635	0.876875915	0.980507422	0.081888553		40	0	28.667	51
YNL125C	ESBP6	1.079189062	1.063304365	0.589354848	0.241490596		40	0	23.956	47
YIL125W	KGD1	0.884311821	0.711036331	0.163079385	0.033805904		41	2.5	25.651	56
YNL121C	TOM70	0.525886817	0.534335152	0.008044226	0.008278957		43	7.5	16.565	32
YJL200C	ACO2	1.076951741	0.915066773	0.68318694	0.521441596		46	15	27.414	58
YKR036C	CAF4	0.896507857	1.050392056	0.582335803	0.736902693		40	0	27.4	38
YGR110W	CLD1	1.137492823	0.951924157	0.228363142	0.65387343		35	-12.5	27	46
YGR086C	PIL1	0.931253588	0.910556572	0.557793341	0.380082911		34	-15	29.267	51
YOR271C	FSF1	1.154086785	1.165193667	0.464032476	0.105426547		37	-7.5	23.8	38
YKL053C-A	MDM35	0.530013451	0.725955002	0.014121435	0.035791391		38	-5	16.8	21
YBR093C	PHO5	1.098184854	1.071988651	0.502062135	0.739358545		26	-35	27.2	45
YPR024W	YME1	0.609333962	0.820540838	0.017881877	0.082838244		30	-25	15.237	47
YDL045W-A	MRP10	1.108799433	0.532073768	0.475440114	0.031783335	rho0	40	0	18.844	37
YDL077C	VPS39	0.758135577	0.474478415	0.100567008	0.00402406		40	0	16	22
YDR529C	QCR7	1.140640531	0.482383887	0.316706609	0.002543927	rho0	24	-40	15.52	31
YGL180W	ATG1	0.964270028	1.043202388	0.788776015	0.711847753		31	-22.5	27.496	74
YER182W	FMP10	1.122515571	1.271897558	0.350122731	0.006804763		37	-7.5	23.15	45
YDR493W	MZM1	NA	NA	NA	NA	rho0	36	-10	NA	NA
YIL136W	OM45	NA	NA	NA	NA		38	-5	NA	NA
YJR066W	TOR1	1.076956862	1.010316988	0.639253527	0.950817066		51	27.5	31.554	75
YML110C	COQ5	0.746830336	0.57882076	0.294532806	0.000776708	rho0	10	-75	21.657	42
YPL059W	GRX5	0.172672495	0.38843056	0.00145756	0.001646533	rho0	23	-42.5	21	23
YDL202W	MRPL11	0.892968923	0.573684428	0.708894653	0.000671063	rho0	7	-82.5	19.432	38
YLR369W	SSQ1	0.10837538	0.528751215	0.002909912	0.029967899	rho0	9	-77.5	17.86	36
YGR255C	COQ6	0.70152052	0.478549488	0.071244216	0.004240161		27	-32.5	26	37
YOR147W	MDM32	1.181471653	1.71114224	0.2724201	0.002901746		38	-5	20.72	35
YNL055C	POR1	0.364688335	0.421971845	0.004849684	0.002097678		40	0	12.448	43
WT-cntrl	WT	NA	NA	NA	NA		41	2.5	25.2	41
